ts,tenant,latency_ms,status,phase
1784412802.367,default-org,53.952,200,measure
1784412799.915,default-org,2653.949,200,measure
1784412802.569,default-org,52.891,200,measure
1784412800.366,default-org,2389.399,200,measure
1784412802.756,default-org,59.16,200,measure
1784412798.672,default-org,4188.433,200,measure
1784412802.86,default-org,54.446,200,measure
1784412800.31,default-org,2657.907,200,measure
1784412800.624,default-org,2344.928,200,measure
1784412802.968,default-org,58.374,200,measure
1784412803.026,default-org,123.522,200,measure
1784412801.74,default-org,1611.705,200,measure
1784412797.783,default-org,5569.528,200,measure
1784412803.352,default-org,134.064,200,measure
1784412803.352,default-org,197.794,200,measure
1784412802.121,default-org,1536.48,200,measure
1784412803.657,default-org,56.586,200,measure
1784412798.472,default-org,5397.573,200,measure
1784412801.513,default-org,2357.374,200,measure
1784412803.87,default-org,109.7,200,measure
1784412803.871,default-org,135.344,200,measure
1784412802.622,default-org,1545.09,200,measure
1784412804.167,default-org,84.306,200,measure
1784412802.421,default-org,1932.762,200,measure
1784412804.354,default-org,72.803,200,measure
1784412802.915,default-org,1734.748,200,measure
1784412802.969,default-org,1693.758,200,measure
1784412804.65,default-org,58.682,200,measure
1784412798.56,default-org,6204.038,503,measure
1784412801.312,default-org,3639.55,200,measure
1784412801.031,default-org,3937.47,200,measure
1784412804.764,default-org,284.213,200,measure
1784412804.708,default-org,364.776,200,measure
1784412804.951,default-org,229.161,200,measure
1784412805.073,default-org,176.881,200,measure
1784412803.15,default-org,2302.869,200,measure
1784412805.453,default-org,115.947,200,measure
1784412803.55,default-org,2019.325,200,measure
1784412805.569,default-org,80.519,200,measure
1784412804.663,default-org,1097.782,200,measure
1784412805.761,default-org,57.959,200,measure
1784412801.833,default-org,4032.958,200,measure
1784412805.866,default-org,65.918,200,measure
1784412803.98,default-org,2280.789,200,measure
1784412804.006,default-org,2254.942,200,measure
1784412806.261,default-org,191.365,200,measure
1784412806.261,default-org,282.039,200,measure
1784412803.714,default-org,2850.04,200,measure
1784412804.252,default-org,2317.159,200,measure
1784412805.048,default-org,1615.168,200,measure
1784412806.569,default-org,110.351,200,measure
1784412802.022,default-org,4732.706,503,measure
1784412806.679,default-org,173.957,200,measure
1784412806.754,default-org,266.584,200,measure
1784412802.815,default-org,4350.806,200,measure
1784412804.427,default-org,2744.211,200,measure
1784412805.181,default-org,1990.94,200,measure
1784412807.166,default-org,108.043,200,measure
1784412807.172,default-org,201.02,200,measure
1784412804.968,default-org,2493.658,200,measure
1784412807.462,default-org,53.202,200,measure
1784412806.564,default-org,1142.637,200,measure
1784412807.707,default-org,52.33,200,measure
1784412806.853,default-org,1008.289,200,measure
1784412807.862,default-org,53.707,200,measure
1784412805.932,default-org,2724.274,200,measure
1784412808.656,default-org,51.331,200,measure
1784412806.543,default-org,2328.456,200,measure
1784412808.872,default-org,54.926,200,measure
1784412807.171,default-org,1987.952,200,measure
1784412803.486,default-org,5682.036,200,measure
1784412809.159,default-org,116.909,200,measure
1784412809.168,default-org,180.998,200,measure
1784412807.759,default-org,1792.853,200,measure
1784412807.373,default-org,2196.467,200,measure
1784412809.552,default-org,99.799,200,measure
1784412809.569,default-org,161.34,200,measure
1784412806.663,default-org,3191.931,200,measure
1784412809.855,default-org,57.138,200,measure
1784412807.915,default-org,2143.655,200,measure
1784412810.059,default-org,56.18,200,measure
1784412807.515,default-org,2644.179,200,measure
1784412810.159,default-org,58.579,200,measure
1784412807.274,default-org,2992.848,200,measure
1784412810.267,default-org,56.852,200,measure
1784412805.569,default-org,4984.944,200,measure
1784412810.554,default-org,62.79,200,measure
1784412809.349,default-org,1307.861,200,measure
1784412809.652,default-org,1018.23,200,measure
1784412805.25,default-org,5604.21,200,measure
1784412809.913,default-org,950.28,200,measure
1784412810.657,default-org,210.289,200,measure
1784412805.819,default-org,5144.108,503,measure
1784412810.854,default-org,216.899,200,measure
1784412810.867,default-org,285.733,200,measure
1784412810.67,default-org,508.123,200,measure
1784412811.071,default-org,178.87,200,measure
1784412810.115,default-org,1853.251,200,measure
1784412811.968,default-org,103.21,200,measure
1784412810.218,default-org,2048.178,200,measure
1784412810.617,default-org,1740.361,200,measure
1784412812.266,default-org,170.897,200,measure
1784412806.452,default-org,5999.765,200,measure
1784412805.65,default-org,6812.375,200,measure
1784412812.437,default-org,112.185,200,measure
1784412812.452,default-org,127.944,200,measure
1784412812.58,default-org,137.978,200,measure
1784412807.021,default-org,6048.572,503,measure
1784412813.07,default-org,52.334,200,measure
1784412810.323,default-org,2932.414,200,measure
1784412809.73,default-org,3534.791,200,measure
1784412812.357,default-org,1007.052,200,measure
1784412813.265,default-org,186.415,200,measure
1784412813.256,default-org,235.059,200,measure
1784412813.364,default-org,185.778,200,measure
1784412810.963,default-org,2602.977,200,measure
1784412813.566,default-org,58.271,200,measure
1784412812.718,default-org,1232.605,200,measure
1784412812.549,default-org,1416.29,200,measure
1784412810.863,default-org,3291.901,200,measure
1784412813.965,default-org,285.958,200,measure
1784412814.155,default-org,132.499,200,measure
1784412813.95,default-org,508.75,200,measure
1784412812.072,default-org,2497.566,200,measure
1784412814.569,default-org,67.698,200,measure
1784412808.707,default-org,5959.198,200,measure
1784412814.667,default-org,55.282,200,measure
1784412811.153,default-org,3717.168,200,measure
1784412814.87,default-org,62.365,200,measure
1784412812.462,default-org,2597.06,200,measure
1784412815.059,default-org,59.473,200,measure
1784412808.927,default-org,6238.536,503,measure
1784412815.165,default-org,56.721,200,measure
1784412813.122,default-org,2244.652,200,measure
1784412809.276,default-org,6096.916,200,measure
1784412813.624,default-org,1749.542,200,measure
1784412815.373,default-org,197.126,200,measure
1784412815.367,default-org,245.869,200,measure
1784412815.612,default-org,67.799,200,measure
1784412813.491,default-org,2370.535,200,measure
1784412815.861,default-org,107.06,200,measure
1784412811.25,default-org,5003.416,200,measure
1784412811.178,default-org,5076.004,200,measure
1784412814.287,default-org,1976.405,200,measure
1784412814.251,default-org,2116.009,200,measure
1784412815.57,default-org,891.572,200,measure
1784412816.254,default-org,218.389,200,measure
1784412816.473,default-org,276.087,200,measure
1784412814.459,default-org,2300.483,200,measure
1784412816.254,default-org,526.105,200,measure
1784412813.55,default-org,3309.278,200,measure
1784412816.264,default-org,707.352,200,measure
